# Rime user dictionary
#@/db_name	rime_mint
#@/db_type	userdb
#@/rime_version	1.13.0
#@/tick	1954
#@/user_id	813273a1-82f8-48ef-b3a3-b5fbee29d649
a 	啊	c=1 d=1 t=1120
duo ju yi dian 	多举一点	c=1 d=1 t=148
en en 	嗯嗯	c=1 d=1 t=841
er 	而	c=1 d=1 t=172
er lai 	而来	c=1 d=1 t=105
er qie 	而且	c=2 d=1.10026 t=1764
er shi 	而是	c=3 d=1.00187 t=1735
fa 	法	c=1 d=1 t=935
fa le 	发了	c=1 d=1 t=1372
fa song 	发送	c=2 d=1.16613 t=1746
fa xian 	发现	c=1 d=1 t=1207
fan cha 	反差	c=4 d=3.57316 t=75
fan cha 	反查	c=1 d=1 t=50
fan hui 	返回	c=2 d=1.99501 t=812
fan xiang 	反向	c=1 d=1 t=1633
fan yi 	翻译	c=3 d=2.31568 t=1473
fang an 	方案	c=4 d=1.5592 t=1000
fang fa 	方法	c=3 d=2.35819 t=993
fang shi 	方式	c=9 d=2.72993 t=1855
fang wen 	访问	c=3 d=1.20451 t=1538
fei chang 	非常	c=1 d=1 t=1380
fen bie 	分别	c=3 d=2.13201 t=478
fen liu 	分流	c=1 d=1 t=248
fen xi yi xia 	分析一下	c=1 d=1 t=1042
feng xian 	风险	c=1 d=1 t=1339
fu dai 	附带	c=1 d=1 t=1820
fu fei 	付费	c=1 d=1 t=429
fu wu 	服务	c=4 d=1.02348 t=1262
fu wu qi 	服务器	c=16 d=1.39314 t=1617
fu zhi 	复制	c=5 d=4.71941 t=732
gai diao 	改掉	c=1 d=1 t=682
gan xie 	感谢	c=5 d=2.93794 t=1942
gang ao 	港澳	c=1 d=1 t=1433
ge 	个	c=6 d=4.80219 t=1566
ge le 	隔了	c=1 d=1 t=1831
ge ren 	个人	c=1 d=1 t=1825
ge shi 	格式	c=2 d=1.67706 t=1447
gei 	给	c=1 d=1 t=1496
gei chu 	给出	c=1 d=1 t=801
gei dao 	给到	c=1 d=1 t=1699
gei guo 	给过	c=1 d=1 t=1792
gei le 	给了	c=1 d=1 t=1922
gei ta 	给他	c=1 d=1 t=1428
gei wo 	给我	c=5 d=2.08008 t=1853
gen ju 	根据	c=4 d=1.34565 t=886
gen zheng shu 	根证书	c=1 d=1 t=359
geng 	更	c=1 d=1 t=1521
geng xin 	更新	c=2 d=1.25411 t=959
gong ju 	工具	c=1 d=1 t=255
gong si yao 	公私钥	c=4 d=3.10025 t=1165
gou mai 	购买	c=1 d=1 t=1715
gou xuan 	勾选	c=1 d=1 t=761
guan bi 	关闭	c=4 d=3.42449 t=607
guan diao 	关掉	c=2 d=1.97531 t=753
guan fang 	官方	c=2 d=1.6942 t=960
guan wang 	官网	c=1 d=1 t=517
guan xi 	关系	c=1 d=1 t=1047
gui ze 	规则	c=5 d=1.82648 t=1245
guo 	过	c=1 d=1 t=1293
guo da 	过大	c=1 d=1 t=1071
guo ji 	国际	c=1 d=1 t=1301
guo qi 	过期	c=1 d=1 t=1767
guo qu 	过去	c=3 d=2.06074 t=1747
guo wai 	国外	c=1 d=1 t=630
ha 	哈	c=1 d=1 t=867
hai 	还	c=1 d=0.147835 t=1180
hai bing mei you 	还并没有	c=1 d=1 t=1181
hai shi 	还是	c=9 d=2.33729 t=1833
hai wu fa 	还无法	c=1 d=1 t=763
hai xu yao 	还需要	c=1 d=1 t=1615
hai yao 	还要	c=1 d=1 t=1231
hang hao 	行号	c=2 d=1.97045 t=710
hao 	号	c=4 d=1.90614 t=1074
hao 	好	c=2 d=1.00114 t=1628
hao de 	好的	c=3 d=1.89936 t=1059
hao ji tian 	好几天	c=1 d=1 t=1832
hao ne 	好呢	c=1 d=1 t=147
hao yong ma 	好用吗	c=1 d=1 t=813
he 	和	c=8 d=2.48275 t=1582
he li 	合理	c=1 d=1 t=1404
he wo 	和我	c=1 d=1 t=1054
hen 	很	c=0 d=0.1 t=419
hen hao 	很好	c=1 d=1 t=1001
hen ying xiang 	很影响	c=1 d=1 t=420
hou 	后	c=7 d=1.29111 t=1915
